"CAMIS","DBA","ZIPCODE","CUISINE DESCRIPTION","reinspections","checks","violations","score","inspections","average_grade","BORO","BUILDING","STREET","SCORE","GRADE","GRADE DATE","GRADENUM","NAME","ADDRESS","lon","lat"
40679997,"MCDONALD'S",11101,"Hamburgers",4,14,14,226,4,2.6,"QUEENS","3800","QUEENS BOULEVARD",15,"B","01/09/2019",2,"MCDONALDS","3800 QUEENS BOULEVARD QUEENS",-73.9224342,40.7434427
40686067,"MCDONALD'S",11222,"Hamburgers",0,4,4,16,3,3,"BROOKLYN","652","MEEKER AVE",3,"A","04/03/2019",3,"MCDONALDS","652 MEEKER AVE BROOKLYN",-73.9404627,40.7220559
40724205,"MCDONALD'S",10452,"Hamburgers",1,10,10,81,5,3,"BRONX","101","EAST  170 STREET",9,"A","02/21/2019",3,"MCDONALDS","101 EAST  170 STREET BRONX",-73.9155447,40.8397027
40724246,"MCDONALD'S",11354,"Hamburgers",2,12,12,196,5,3,"QUEENS","13661","ROOSEVELT AVENUE",10,"A","03/25/2019",3,"MCDONALDS","13661 ROOSEVELT AVENUE QUEENS",-73.8280107,40.760397
40736385,"MCDONALD'S",11208,"Hamburgers",4,16,16,490,6,3,"BROOKLYN","2797","LINDEN BOULEVARD",10,"A","03/15/2019",3,"MCDONALDS","2797 LINDEN BOULEVARD BROOKLYN",-73.86033,40.6701576
40786218,"MCDONALD'S",11356,"Hamburgers",1,10,10,105,5,3,"QUEENS","13811","20 AVENUE",6,"A","10/30/2018",3,"MCDONALDS","13811 20 AVENUE QUEENS",-73.8299402,40.7820035
40794103,"MCDONALD'S",10473,"Hamburgers",10,24,24,466,7,2.45454545454545,"BRONX","1600","BRUCKNER BOULEVARD",6,"A","04/18/2018",3,"MCDONALDS","1600 BRUCKNER BOULEVARD BRONX",-73.8746465,40.8234175
40799399,"MCDONALD'S",10001,"Hamburgers",1,11,11,117,5,3,"MANHATTAN","151","WEST   34 STREET",10,"A","09/05/2018",3,"MCDONALDS","151 WEST   34 STREET MANHATTAN",-73.9894835,40.7508025
40800557,"MCDONALD'S",10038,"Hamburgers",0,5,5,40,3,3,"MANHATTAN","160","BROADWAY",9,"A","04/05/2019",3,"MCDONALDS","160 BROADWAY MANHATTAN",-74.0099791,40.7093746
40809862,"MCDONALD'S",11207,"Hamburgers",0,8,8,69,3,3,"BROOKLYN","15","SHEFFIELD AVENUE",8,"A","03/07/2018",3,"MCDONALDS","15 SHEFFIELD AVENUE BROOKLYN",-73.89785,40.677545
40868904,"MCDONALD'S",10474,"Hamburgers",2,11,11,126,4,3,"BRONX","875","GARRISON AVENUE",10,"A","02/08/2019",3,"MCDONALDS","875 GARRISON AVENUE BRONX",-73.8924998,40.8169731
40881083,"MCDONALD'S",11004,"Hamburgers",0,4,4,30,3,3,"QUEENS","25603","UNION TURNPIKE",5,"A","03/19/2019",3,"MCDONALDS","25603 UNION TURNPIKE QUEENS",-73.7151686,40.7456955
40946431,"MCDONALD'S",11233,"Hamburgers",1,15,13,244,7,3,"BROOKLYN","1883","ATLANTIC AVENUE",10,"A","05/14/2018",3,"MCDONALDS","1883 ATLANTIC AVENUE BROOKLYN",-73.9225258,40.6773364
40992090,"MCDONALD'S",10307,"Hamburgers",0,7,7,50,3,3,"STATEN ISLAND","260","PAGE AVENUE",8,"A","02/25/2019",3,"MCDONALDS","260 PAGE AVENUE STATEN ISLAND",-74.2347609,40.5177343
41002547,"MCDONALD'S",10018,"Hamburgers",6,26,26,464,8,3,"MANHATTAN","972","6 AVENUE",9,"A","09/25/2018",3,"MCDONALDS","972 6 AVENUE MANHATTAN",-73.9867273,40.7508082
41013992,"MCDONALD'S",10472,"Hamburgers",0,9,9,93,3,3,"BRONX","1865","BRUCKNER BOULEVARD",12,"A","06/18/2018",3,"MCDONALDS","1865 BRUCKNER BOULEVARD BRONX",-73.8616419,40.8263849
41023651,"MCDONALD'S",11385,"Hamburgers",6,15,15,280,6,3,"QUEENS","5429","METROPOLITAN AVENUE",2,"A","05/31/2018",3,"MCDONALDS","5429 METROPOLITAN AVENUE QUEENS",-73.9097346,40.7133076
41023695,"MCDONALD'S",11419,"Hamburgers",0,5,5,42,3,3,"QUEENS","11905","LIBERTY AVENUE",4,"A","07/24/2018",3,"MCDONALDS","11905 LIBERTY AVENUE QUEENS",-73.82399,40.686568
41040405,"MCDONALD'S",11217,"Hamburgers",0,7,6,65,4,3,"BROOKLYN","139","FLATBUSH AVENUE",13,"A","08/24/2018",3,"MCDONALDS","139 FLATBUSH AVENUE BROOKLYN",-73.9776112,40.6845602
41064834,"MCDONALD'S",10462,"Hamburgers",4,12,12,114,5,3,"BRONX","1982","WESTCHESTER AVENUE",4,"A","08/06/2018",3,"MCDONALDS","1982 WESTCHESTER AVENUE BRONX",-73.8585612,40.8332347
41064863,"MCDONALD'S",10457,"Hamburgers",9,27,26,423,11,2.71428571428571,"BRONX","599","EAST TREMONT AVENUE",9,"A","06/08/2018",3,"MCDONALDS","599 EAST TREMONT AVENUE BRONX",-73.8934216,40.8467087
41098989,"MCDONALD'S",10467,"Hamburgers",0,6,6,58,3,3,"BRONX","3509","WEBSTER AVENUE",11,"A","06/18/2018",3,"MCDONALDS","3509 WEBSTER AVENUE BRONX",-73.8717233,40.8791183
41098999,"MCDONALD'S",10469,"Hamburgers",0,6,6,67,3,3,"BRONX","1212","EAST GUNHILL ROAD",5,"A","03/11/2019",3,"MCDONALDS","1212 EAST GUNHILL ROAD BRONX",-73.8523129,40.872624
41155817,"MCDONALD'S",10304,"Hamburgers",4,19,19,457,6,3,"STATEN ISLAND","501","BAY STREET",10,"A","03/20/2019",3,"MCDONALDS","501 BAY STREET STATEN ISLAND",-74.0763336,40.6299145
41155821,"MCDONALD'S",10305,"Hamburgers",0,7,7,60,3,3,"STATEN ISLAND","1388","HYLAN BOULEVARD",5,"A","01/30/2019",3,"MCDONALDS","1388 HYLAN BOULEVARD STATEN ISLAND",-74.0860731,40.5946725
41182288,"MCDONALD'S",11375,"Hamburgers",9,29,29,426,8,3,"QUEENS","9801","METROPOLITAN AVENUE",10,"A","03/20/2019",3,"MCDONALDS","9801 METROPOLITAN AVENUE QUEENS",-73.8546385,40.7110564
41195795,"MCDONALD'S",11207,"American",0,8,8,73,3,3,"BROOKLYN","2800","ATLANTIC AVENUE",4,"A","01/11/2019",3,"MCDONALDS","2800 ATLANTIC AVENUE BROOKLYN",-73.8907414,40.6762035
41211622,"MCDONALD'S",10025,"Hamburgers",3,10,10,108,5,3,"MANHATTAN","2726","BROADWAY",10,"A","04/19/2019",3,"MCDONALDS","2726 BROADWAY MANHATTAN",-73.9676444,40.7999227
41215997,"MCDONALD'S",10468,"Hamburgers",4,18,18,425,7,3,"BRONX","36","WEST FORDHAM ROAD",11,"A","04/18/2019",3,"MCDONALDS","36 WEST FORDHAM ROAD BRONX",-73.9028908,40.8624921
41217606,"MCDONALD'S",10458,"Hamburgers",0,7,7,61,3,3,"BRONX","372","EAST FORDHAM ROAD",7,"A","05/02/2018",3,"MCDONALDS","372 EAST FORDHAM ROAD BRONX",-73.8924722,40.8615868
41241627,"MCDONALD'S",10453,"American",3,12,12,137,6,3,"BRONX","1749","UNIVERSITY AVENUE",11,"A","03/27/2019",3,"MCDONALDS","1749 UNIVERSITY AVENUE BRONX",-73.9161418,40.8501342
41241630,"MCDONALD'S",10035,"Hamburgers",8,22,22,366,8,3,"MANHATTAN","2142","3 AVENUE",5,"A","07/30/2018",3,"MCDONALDS","2142 3 AVENUE MANHATTAN",-73.939789,40.798618
41241636,"MCDONALD'S",10031,"Hamburgers",4,18,18,320,5,2.63636363636364,"MANHATTAN","3410","BROADWAY",8,"A","03/27/2019",3,"MCDONALDS","3410 BROADWAY MANHATTAN",-73.953137,40.822226
41241639,"MCDONALD'S",10031,"Hamburgers",3,15,15,382,4,3,"MANHATTAN","3549","BROADWAY",12,"A","02/06/2019",3,"MCDONALDS","3549 BROADWAY MANHATTAN",-73.9506085,40.8269533
41258107,"MCDONALD'S",11224,"Hamburgers",3,13,13,114,6,3,"BROOKLYN","606","NEPTUNE AVENUE",7,"A","05/17/2018",3,"MCDONALDS","606 NEPTUNE AVENUE BROOKLYN",-73.9751516,40.5795506
41262331,"MCDONALD'S",10021,"Hamburgers",5,18,18,269,8,3,"MANHATTAN","1286","1 AVENUE",11,"A","09/17/2018",3,"MCDONALDS","1286 1 AVENUE MANHATTAN",-73.9570832,40.7659046
41262487,"MCDONALD'S",10025,"Hamburgers",1,11,10,95,5,3,"MANHATTAN","2549","BROADWAY",7,"A","10/29/2018",3,"MCDONALDS","2549 BROADWAY MANHATTAN",-73.9724656,40.7944376
41262493,"MCDONALD'S",10455,"Hamburgers",2,11,11,204,4,3,"BRONX","2870","3 AVENUE",9,"A","03/28/2019",3,"MCDONALDS","2870 3 AVENUE BRONX",-73.916854,40.8163442
41262497,"MCDONALD'S",10023,"Hamburgers",3,14,14,176,5,3,"MANHATTAN","2049","BROADWAY",7,"A","01/18/2019",3,"MCDONALDS","2049 BROADWAY MANHATTAN",-73.982472,40.777901
41265586,"MCDONALD'S",10018,"Hamburgers",3,8,8,94,4,3,"MANHATTAN","556","7 AVENUE",13,"A","01/18/2019",3,"MCDONALDS","556 7 AVENUE MANHATTAN",-73.9883058,40.7547117
41268295,"MCDONALD'S",11373,"American",3,13,12,400,5,3,"QUEENS","8003","QUEENS BOULEVARD",12,"A","03/12/2019",3,"MCDONALDS","8003 QUEENS BOULEVARD QUEENS",-73.8831453,40.7383081
41275238,"MCDONALD'S",10016,"Hamburgers",2,12,12,122,5,3,"MANHATTAN","480","3 AVENUE",5,"A","12/21/2018",3,"MCDONALDS","480 3 AVENUE MANHATTAN",-73.979035,40.744987
